Date,BAC,C,GS,JPM,MS,WFC
2007-01-03,3.992311842289577,6.332924303550413,5.314781128601811,3.878879764752708,4.4106140878186055,3.5837966310496525
2007-01-04,3.986944920619527,6.3306117741784975,5.3016617586737205,3.8825941790228238,4.411585455433373,3.5840743524564074
2007-01-05,3.981362486354079,6.310826956162734,5.298317366548036,3.876395827784995,4.401706660556416,3.5787855824208155
2007-01-08,3.982295047034813,6.312641838693557,5.317874850800303,3.872450258882834,4.402074363628505,3.5804586881533425
2007-01-09,3.983599186871616,6.312641838693557,5.322522025457076,3.8734900683979463,4.404888285174763,3.579343524482758
2007-01-10,3.9834130157222574,6.300602336393718,5.339651241753767,3.8736978689095696,4.4045217087714095,3.573749189661956
2007-01-11,3.982481497518066,6.2987654513159566,5.3620899608554575,3.87991291369383,4.415098705258881,3.5734685854771437
2007-01-12,3.9815490396088657,6.301702805273125,5.367003530034846,3.8766030254172166,4.421848128860553,3.575710790182517
2007-01-16,3.980242221601196,6.306457707508989,5.371242519259625,3.880738696495946,4.423408439512112,3.597312260588446
2007-01-17,3.983599186871616,6.311371744692133,5.366396470253164,3.8895728641063743,4.418840607796598,3.5967641526577845
2007-01-18,3.9806157826465225,6.3046315564452815,5.369753905120463,3.883211961265559,4.422208409648895,3.59429399485156
2007-01-19,3.982295047034813,6.300969219282007,5.3539412818426015,3.8883449155721284,4.411706833212973,3.5926438966337337
2007-01-22,3.9899095299697787,6.319508486264793,5.3624651863717885,3.9092190903367188,4.436278038666023,3.5851842558586706
2007-01-23,3.9800554243731057,6.306275286948016,5.363262046608836,3.9092190903367188,4.421247311147381,3.5849068425675887
2007-01-24,3.9793077436742124,6.307004992206872,5.394399966908532,3.9199912053526975,4.438643278349443,3.6008676059502975
2007-01-25,3.9744342884864676,6.3077340541685425,5.3959430204212975,3.92553136147456,4.437579590185573,3.601140523147863
2007-01-26,3.9665111762626046,6.303900228229527,5.370172775246809,3.917010546939185,4.412798293340635,3.5898874922720516
2007-01-29,3.9560398908449206,6.302618975744905,5.371010060454843,3.904998421223888,4.415219565128099,3.5868466989774874
2007-01-30,3.9537406192694684,6.297477598716929,5.358047459256551,3.917010546939185,4.408059819154038,3.5865698521919294
2007-01-31,3.9665111762626046,6.315177197500266,5.360117767453484,3.9349579737280798,4.418479111388778,3.58351893845611
2007-02-01,3.969725738601614,6.312823101658699,5.365508587553925,3.9365205097854963,4.435448903937365,3.58601582288268
2007-02-02,3.973306230974693,6.308826818098854,5.365508587553925,3.938275412244424,4.434025889948809,3.5849068425675887
2007-02-05,3.9725534850605873,6.3133669146818425,5.364666752801264,3.93476252222909,4.429744839525278,3.579343524482758
2007-02-06,3.9764990589469313,6.318968113746434,5.3746300522247346,3.938080533800908,4.429268013744406,3.5840743524564074
2007-02-07,3.9794947519222346,6.3133669146818425,5.3745837502781395,3.936130104603927,4.427238941034762,3.584629458143226
2007-02-08,3.9776234510801496,6.30591023454524,5.371614326806311,3.9330014387089705,4.421727975861924,3.578227222359713
2007-02-09,3.979681653901961,6.300602336393718,5.390258215193196,3.9355441736421617,4.431768748346225,3.579343524482758
2007-02-12,3.976123956595146,6.289901037170917,5.365976015021851,3.924939260820633,4.405743138939456,3.573188009595719
2007-02-13,3.9850875933055514,6.288787496596443,5.362699639784655,3.932217721685905,4.4025643307372455,3.5843518908798147
2007-02-14,3.9921272158678005,6.299684315623127,5.389528274458635,3.9425521956629797,4.418117484254047,3.5890591399074006
2007-02-15,3.992865376383714,6.301152722212383,5.388340852461439,3.9409991373814517,4.421607900091219,3.5934692860956243
2007-02-16,3.9902794977498264,6.294343066441045,5.382198850528739,3.9386649066593007,4.417031725455204,3.591266591600212
2007-02-20,3.9921272158678005,6.3035343076165935,5.402226802432844,3.9464244321454784,4.426043501838516,3.582685291644233
2007-02-21,3.98842835924873,6.294343066441045,5.40042258948519,3.9483549052468203,4.427119525216801,3.591266591600212
2007-02-22,3.9908341576476496,6.293234464013381,5.406050066350919,3.95028173223127,4.427836170705175,3.5898874922720516
2007-02-23,3.984157634420445,6.2921245182569585,5.392718055853769,3.9464244321454784,4.415098705258881,3.5893352984937232
2007-02-26,3.973118133496873,6.295081527624776,5.386190849438004,3.9400271662279667,4.400357632558084,3.5785063881128623
2007-02-27,3.962906227344152,6.268527963544143,5.34901045185445,3.924149197285887,4.341855450129317,3.56953269648137
2007-02-28,3.9415818076696905,6.234802829633684,5.317384459206472,3.909820569639,4.327966369903728,3.5559193399291984
2007-03-01,3.9298629535344514,6.243195555274104,5.311727038402415,3.900759785372513,4.325720834783628,3.5527733167460513
2007-03-02,3.918799992738316,6.238519870794099,5.3029068097684915,3.8918202981106265,4.321347336022043,3.5553480614894135
2007-03-05,3.917607359443941,6.225548038460526,5.285687977962792,3.8745287978322125,4.2960602160083905,3.5452977696728207
2007-03-06,3.9335887863293553,6.2312685273099575,5.289276606498522,3.885268274388344,4.306359731061198,3.548179572010801
2007-03-07,3.9337844673490143,6.236369590203704,5.293304824724492,3.889163689425807,4.31762146646082,3.547603853575341
2007-03-08,3.938275412244424,6.23910561766907,5.3083667235497405,3.898937734959958,4.338727624495726,3.549042473828289
2007-03-09,3.9359348075965572,6.23342985266278,5.313156743805931,3.898937734959958,4.335328011679325,3.5507661563639776
2007-03-12,3.9353488366944362,6.227524323688738,5.31266395724667,3.891412042178091,4.334935023141397,3.5421180992248247
2007-03-13,3.9333930670111408,6.216406468178473,5.340226757919233,3.8815637979434374,4.32466232940408,3.539218639684645
